"k" "Without NA" "0 instead of NA" "Mean instead of NA"
1 0.949130987706655 0.538883806038426 0.916437938395852
5 0.92030521407376 0.894480024397682 0.896309850564196
9 0.923696481559983 0.896309850564196 0.896309850564196
13 0.870284018651971 0.859713327233913 0.859713327233913
17 0.897414158541755 0.879841415065569 0.879231473010064
21 0.905044510385757 0.884111009454102 0.884111009454102
25 0.905892327257312 0.886550777676121 0.885940835620616
29 0.90843577787198 0.887160719731625 0.887160719731625
33 0.910131411615091 0.888380603842635 0.888380603842635
37 0.910979228486647 0.88899054589814 0.88899054589814
41 0.911827045358203 0.889600487953644 0.889600487953644
45 0.911827045358203 0.889600487953644 0.889600487953644
49 0.913522679101314 0.890820372064654 0.890820372064654
53 0.913522679101314 0.890820372064654 0.890820372064654
57 0.913522679101314 0.890820372064654 0.890820372064654
61 0.91437049597287 0.891430314120159 0.891430314120159
65 0.91437049597287 0.891430314120159 0.891430314120159
69 0.91437049597287 0.891430314120159 0.891430314120159
73 0.91437049597287 0.891430314120159 0.891430314120159
77 0.915218312844426 0.892040256175663 0.892040256175663
81 0.915218312844426 0.892040256175663 0.892040256175663
85 0.916066129715981 0.892650198231168 0.892650198231168
89 0.916913946587537 0.893260140286673 0.893260140286673
93 0.916913946587537 0.893260140286673 0.893260140286673
97 0.826197541331072 0.835315645013724 0.837145471180238
