"k" "Without NA" "0 instead of NA" "Mean instead of NA"
1 0.941737288135593 0.873575498575499 0.880698005698006
5 0.955508474576271 0.871438746438746 0.871438746438746
9 0.957627118644068 0.872150997150997 0.872150997150997
13 0.978813559322034 0.85505698005698 0.85505698005698
17 0.951271186440678 0.872863247863248 0.873575498575499
21 0.945974576271186 0.877849002849003 0.879273504273504
25 0.942796610169492 0.880698005698006 0.879985754985755
29 0.940677966101695 0.881410256410256 0.881410256410256
33 0.938559322033898 0.882834757834758 0.882834757834758
37 0.9375 0.883547008547009 0.883547008547009
41 0.9375 0.883547008547009 0.883547008547009
45 0.9375 0.883547008547009 0.883547008547009
49 0.935381355932203 0.88497150997151 0.88497150997151
53 0.935381355932203 0.88497150997151 0.88497150997151
57 0.935381355932203 0.88497150997151 0.88497150997151
61 0.934322033898305 0.885683760683761 0.885683760683761
65 0.934322033898305 0.885683760683761 0.885683760683761
69 0.934322033898305 0.885683760683761 0.885683760683761
73 0.934322033898305 0.885683760683761 0.885683760683761
77 0.933262711864407 0.886396011396011 0.886396011396011
81 0.932203389830508 0.887108262108262 0.886396011396011
85 0.932203389830508 0.887108262108262 0.887108262108262
89 0.93114406779661 0.887820512820513 0.887820512820513
93 0.93114406779661 0.887820512820513 0.887820512820513
97 0.9375 0.885683760683761 0.88497150997151
