"k" "Without NA" "0 instead of NA" "Mean instead of NA"
1 0.647245762711864 0.862891737891738 0.857193732193732
5 0.807203389830508 0.842948717948718 0.842948717948718
9 0.845338983050847 0.842948717948718 0.842948717948718
13 0.898305084745763 0.842236467236467 0.842236467236467
17 0.93114406779661 0.842236467236467 0.842236467236467
21 0.949152542372881 0.840811965811966 0.840811965811966
25 0.986228813559322 0.840811965811966 0.840811965811966
29 0.989406779661017 0.840811965811966 0.840811965811966
33 0.996822033898305 0.840811965811966 0.840811965811966
37 1 0.840811965811966 0.840811965811966
41 1 0.840811965811966 0.840811965811966
45 1 0.840811965811966 0.840811965811966
49 1 0.840811965811966 0.840811965811966
53 1 0.840811965811966 0.840811965811966
57 1 0.840811965811966 0.840811965811966
61 1 0.840811965811966 0.840811965811966
65 1 0.840811965811966 0.840811965811966
69 1 0.840811965811966 0.840811965811966
73 1 0.840811965811966 0.840811965811966
77 1 0.840811965811966 0.840811965811966
81 1 0.840811965811966 0.840811965811966
85 1 0.840811965811966 0.840811965811966
89 1 0.840811965811966 0.840811965811966
93 1 0.840811965811966 0.840811965811966
97 1 0.840811965811966 0.840811965811966
