"k" "0 instead of NA" "Mean instead of NA"
1 0.862891737891738 0.857193732193732
5 0.842948717948718 0.842948717948718
9 0.842948717948718 0.842948717948718
13 0.842236467236467 0.842236467236467
17 0.842236467236467 0.842236467236467
21 0.840811965811966 0.840811965811966
25 0.840811965811966 0.840811965811966
29 0.840811965811966 0.840811965811966
33 0.840811965811966 0.840811965811966
37 0.840811965811966 0.840811965811966
41 0.840811965811966 0.840811965811966
45 0.840811965811966 0.840811965811966
49 0.840811965811966 0.840811965811966
53 0.840811965811966 0.840811965811966
57 0.840811965811966 0.840811965811966
61 0.840811965811966 0.840811965811966
65 0.840811965811966 0.840811965811966
69 0.840811965811966 0.840811965811966
73 0.840811965811966 0.840811965811966
77 0.840811965811966 0.840811965811966
81 0.840811965811966 0.840811965811966
85 0.840811965811966 0.840811965811966
89 0.840811965811966 0.840811965811966
93 0.840811965811966 0.840811965811966
97 0.840811965811966 0.840811965811966
