"k" "Cross Validation" "Manual training set" "No training data in test"
1 0.952452238380382 0.967564870259481 0.613416025092672
5 0.95287995437696 0.885942400912461 0.557955517536356
9 0.892857142857143 0.855004277159966 0.535642999714856
13 0.805888223552894 0.817293983461648 0.510193897918449
17 0.808026803535786 0.789991445680068 0.486099230111206
21 0.805888223552894 0.768320501853436 0.474051896207585
25 0.803250641573995 0.75 0.466139150270887
29 0.79961505560308 0.732534930139721 0.459438266324494
33 0.795409181636727 0.721628172226975 0.449743370402053
37 0.777730253778158 0.705018534359852 0.436412888508697
41 0.767179925862561 0.688337610493299 0.426147704590818
45 0.746578272027374 0.671799258625606 0.417878528656972
49 0.742301112061591 0.665312232677502 0.412745936698033
53 0.721913316224693 0.656330196749358 0.406615340747077
57 0.713644140290847 0.64613629883091 0.398916452808668
61 0.700242372398061 0.637368120901055 0.392072996863416
65 0.696250356429997 0.629597946963216 0.38872255489022
69 0.694183062446535 0.62132877102937 0.382164242942686
73 0.685272312517822 0.610635871114913 0.375891074992871
77 0.682706016538352 0.604505275163958 0.371114913031081
81 0.673011120615911 0.597234103222127 0.363273453093812
85 0.669945822640433 0.585970915312233 0.355930995152552
89 0.668876532648988 0.576917593384659 0.350370687197035
93 0.663102366695181 0.567365269461078 0.343741089250071
97 0.659823210721414 0.560878243512974 0.338038209295694
