"white.king.file","white.king.rank","white.rook.file","white.rook.rank","black.king.file","black.king.rank","moves.to.win"
3,1,1,4,6,8,"thirteen"
3,1,8,6,4,6,"fourteen"
4,3,6,5,1,8,"eight"
2,2,7,4,6,2,"eleven"
4,4,8,1,7,3,"ten"
3,1,7,3,1,8,"ten"
3,2,8,3,7,3,"draw"
4,3,3,7,2,5,"nine"
3,2,6,8,8,2,"eleven"
1,1,7,6,6,5,"draw"
2,1,7,5,3,7,"fourteen"
2,1,8,8,4,1,"ten"
4,3,6,8,7,5,"ten"
3,3,1,4,6,4,"thirteen"
3,2,1,3,1,4,"draw"
1,1,6,6,3,3,"sixteen"
4,3,2,5,2,4,"draw"
3,2,3,8,8,5,"twelve"
4,2,3,5,8,7,"twelve"
4,4,5,3,4,1,"nine"
4,3,5,4,2,3,"five"
3,2,6,8,4,6,"fourteen"
2,1,3,3,2,5,"ten"
2,2,2,1,5,3,"fourteen"
4,1,8,4,2,3,"seven"
4,3,7,1,1,3,"seven"
4,2,4,8,1,6,"ten"
4,3,1,3,4,5,"twelve"
3,1,3,7,1,7,"eleven"
2,2,4,7,7,5,"fourteen"
4,3,4,6,3,5,"draw"
2,1,5,5,6,6,"draw"
4,1,7,8,7,1,"twelve"
3,1,8,6,4,6,"fourteen"
1,1,6,3,3,3,"sixteen"
2,1,2,5,6,1,"ten"
1,1,3,6,8,2,"twelve"
2,2,6,3,7,2,"draw"
4,3,8,8,6,3,"eleven"
3,3,3,1,7,3,"twelve"
4,4,2,6,8,7,"nine"
3,3,4,1,6,1,"eight"
3,1,7,3,2,3,"fourteen"
4,2,6,6,2,1,"four"
1,1,3,7,5,2,"sixteen"
2,2,5,3,7,7,"thirteen"
4,4,7,1,6,5,"eleven"
4,3,6,3,2,2,"six"
3,3,8,7,4,1,"nine"
4,3,4,6,1,8,"seven"
4,2,2,7,1,5,"eight"
4,2,4,3,7,7,"twelve"
3,2,4,1,4,6,"thirteen"
1,1,4,3,5,5,"sixteen"
4,2,5,2,6,6,"twelve"
2,2,8,4,7,6,"fourteen"
3,2,1,6,2,8,"twelve"
3,2,4,1,1,3,"eleven"
3,2,7,8,7,2,"thirteen"
4,3,8,7,1,1,"five"
4,1,1,5,6,7,"thirteen"
3,2,5,4,6,7,"eleven"
1,1,3,3,4,4,"draw"
3,3,1,7,7,2,"ten"
3,1,8,3,3,6,"fourteen"
4,2,2,6,1,7,"draw"
4,4,6,6,3,1,"eight"
3,3,5,3,7,7,"twelve"
2,2,4,7,6,5,"fourteen"
2,1,2,8,8,3,"twelve"
3,2,4,7,6,7,"thirteen"
3,2,7,7,3,7,"fourteen"
2,1,3,6,6,4,"sixteen"
4,1,5,7,7,5,"thirteen"
4,3,2,4,4,1,"two"
4,1,7,7,3,3,"fourteen"
3,3,8,8,5,2,"ten"
3,1,6,6,7,5,"draw"
4,3,3,4,5,5,"twelve"
4,2,8,8,3,4,"thirteen"
4,1,7,2,7,1,"draw"
4,2,2,6,4,5,"fourteen"
4,4,3,4,6,2,"nine"
3,1,6,1,1,3,"thirteen"
4,2,2,3,2,5,"twelve"
3,1,2,3,2,5,"fifteen"
3,3,4,1,8,6,"eleven"
4,3,3,6,1,1,"five"
3,3,1,8,6,1,"ten"
4,2,6,3,1,1,"four"
2,1,5,3,1,8,"ten"
3,2,6,4,3,7,"thirteen"
2,1,3,7,4,2,"fifteen"
3,3,4,7,7,1,"eight"
2,1,7,6,8,5,"draw"
3,2,1,8,6,6,"thirteen"
3,2,3,7,8,7,"thirteen"
3,2,8,6,7,6,"draw"
3,1,7,7,8,8,"draw"
4,3,5,2,6,3,"eleven"
4,2,4,1,1,8,"nine"
4,3,7,1,3,1,"six"
2,2,4,4,5,2,"ten"
4,3,3,7,6,2,"eight"
3,2,6,6,5,7,"draw"
4,3,1,6,7,7,"ten"
3,2,4,5,2,8,"nine"
3,1,5,2,2,7,"thirteen"
4,4,5,7,8,3,"nine"
4,2,7,7,3,6,"thirteen"
4,2,8,6,6,2,"ten"
4,2,3,1,7,8,"twelve"
4,1,6,3,6,1,"five"
4,1,4,2,7,4,"fourteen"
4,3,8,5,3,7,"eleven"
3,1,2,5,3,3,"fourteen"
2,1,2,7,8,5,"fourteen"
4,2,6,8,2,4,"twelve"
4,2,2,1,1,1,"draw"
1,1,3,6,7,5,"sixteen"
3,1,4,2,2,7,"eleven"
2,1,3,8,6,2,"fourteen"
3,2,8,4,5,3,"nine"
4,2,6,4,5,5,"draw"
4,4,2,1,4,1,"nine"
4,1,8,1,6,6,"fourteen"
4,1,1,5,1,7,"fourteen"
4,2,8,3,4,5,"thirteen"
3,2,6,1,8,2,"eleven"
4,4,5,8,5,2,"nine"
2,1,8,1,5,5,"fifteen"
3,2,4,8,1,3,"ten"
3,1,5,1,7,6,"thirteen"
4,2,6,6,8,5,"eleven"
4,2,3,2,7,8,"thirteen"
3,3,8,4,6,2,"nine"
3,2,6,8,5,2,"fourteen"
4,3,5,7,3,1,"five"
3,1,7,4,7,8,"twelve"
4,3,1,2,1,4,"ten"
4,2,8,8,4,6,"thirteen"
4,3,1,4,2,5,"draw"
4,1,4,8,5,3,"fourteen"
3,2,5,8,7,5,"twelve"
2,1,3,8,6,2,"fourteen"
3,2,1,3,4,8,"twelve"
3,1,6,3,2,8,"twelve"
4,2,3,5,1,1,"five"
4,1,2,2,7,6,"fourteen"
4,1,8,5,5,5,"thirteen"
1,1,7,3,7,2,"draw"
3,1,1,4,6,7,"fourteen"
4,4,6,6,6,5,"draw"
4,4,8,4,8,3,"draw"
3,2,7,3,1,1,"two"
4,3,4,8,2,2,"six"
3,1,5,6,8,4,"fourteen"
3,1,7,3,6,2,"draw"
3,2,5,6,4,6,"draw"
1,1,7,7,5,1,"fourteen"
4,3,8,1,5,6,"twelve"
4,2,3,2,7,5,"thirteen"
4,1,2,5,3,4,"draw"
2,1,8,3,8,5,"fifteen"
4,1,2,5,4,6,"fourteen"
4,1,2,8,3,4,"fourteen"
3,3,6,5,2,1,"two"
2,2,7,6,7,3,"fifteen"
4,1,7,8,2,1,"five"
3,1,7,3,7,8,"fourteen"
3,1,8,8,8,6,"thirteen"
3,1,8,2,1,6,"eleven"
3,1,7,7,7,5,"fifteen"
4,3,8,8,2,2,"six"
2,2,6,7,4,2,"fourteen"
2,1,6,4,7,3,"draw"
4,2,6,5,4,5,"thirteen"
3,2,8,3,2,4,"twelve"
4,3,1,1,3,6,"twelve"
1,1,8,8,7,2,"thirteen"
3,1,3,5,7,3,"twelve"
4,3,8,8,1,1,"five"
3,2,5,8,6,2,"twelve"
4,4,6,1,6,4,"nine"
3,1,5,1,8,5,"twelve"
4,1,3,5,2,2,"eleven"
3,2,3,8,3,5,"fourteen"
4,2,2,7,5,4,"fourteen"
4,4,5,4,3,2,"seven"
2,1,6,2,3,8,"fourteen"
